state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Virginia,51193,Westmoreland County,6003,4491,10581,1512,0.567337681,0.424440034,0.142897647
Virginia,51195,Wise County,13655,3036,16776,10619,0.81396042,0.180972818,0.632987601
Virginia,51197,Wythe County,12267,3075,15439,9192,0.794546279,0.199170931,0.595375348
Virginia,51199,York County,20722,18296,39540,2426,0.524076884,0.462721295,0.061355589
Virginia,51510,Alexandria city,16112,62326,80062,-46214,0.201244036,0.778471684,-0.577227649
Virginia,51520,Bristol city,5197,2231,7479,2966,0.694878995,0.298301912,0.396577082
Virginia,51530,Buena Vista city,2035,767,2853,1268,0.713284262,0.268839818,0.444444444
Virginia,51540,Charlottesville city,3428,19435,23303,-16007,0.147105523,0.834012788,-0.686907265
Virginia,51550,Chesapeake city,60550,65399,127493,-4849,0.474928035,0.512961496,-0.038033461
Virginia,51570,Colonial Heights city,5883,2982,8941,2901,0.657980092,0.333519741,0.324460351
Virginia,51580,Covington city,1642,818,2475,824,0.663434343,0.330505051,0.332929293
Virginia,51590,Danville city,6894,10615,17667,-3721,0.390219052,0.60083772,-0.210618668
Virginia,51595,Emporia city,744,1419,2178,-675,0.341597796,0.651515152,-0.309917355
Virginia,51600,Fairfax city,4302,8797,13445,-4495,0.319970249,0.654295277,-0.334325028
Virginia,51610,Falls Church city,1620,7200,8969,-5580,0.180622143,0.80276508,-0.622142937
Virginia,51620,Franklin city,1476,2359,3876,-883,0.380804954,0.608617131,-0.227812178
Virginia,51630,Fredericksburg city,4480,8760,13495,-4280,0.331974805,0.649129307,-0.317154502
Virginia,51640,Galax city,1946,753,2717,1193,0.716231137,0.277143909,0.439087229
Virginia,51650,Hampton city,18383,43357,62632,-24974,0.293508111,0.692249968,-0.398741857
Virginia,51660,Harrisonburg city,6266,10641,17245,-4375,0.363351696,0.61704842,-0.253696724
Virginia,51670,Hopewell city,3838,5078,9006,-1240,0.426160338,0.563846325,-0.137685987
Virginia,51678,Lexington city,1030,1795,2863,-765,0.359762487,0.626964722,-0.267202235
Virginia,51680,Lynchburg city,19574,16664,36715,2910,0.533133597,0.453874438,0.079259158
Virginia,51683,Manassas city,6670,9048,16021,-2378,0.416328569,0.564758754,-0.148430185
Virginia,51685,Manassas Park city,2314,3506,5967,-1192,0.387799564,0.587564941,-0.199765376
Virginia,51690,Martinsville city,2155,3435,5658,-1280,0.380876635,0.607104984,-0.226228349
Virginia,51700,Newport News city,26385,48169,75629,-21784,0.348874109,0.636911767,-0.288037658
Virginia,51710,Norfolk city,24377,59941,85643,-35564,0.284635055,0.699893745,-0.41525869
Virginia,51720,Norton city,1174,458,1643,716,0.714546561,0.278758369,0.435788192
Virginia,51730,Petersburg city,1702,11219,13077,-9517,0.130152176,0.857918483,-0.727766307
Virginia,51735,Poquoson city,5800,2119,8024,3681,0.722831505,0.264082752,0.458748754
Virginia,51740,Portsmouth city,12370,28306,41252,-15936,0.299864249,0.686172792,-0.386308543
Virginia,51750,Radford city,3197,3231,6550,-34,0.488091603,0.493282443,-0.00519084
Virginia,51760,Richmond city,17041,88710,108143,-71669,0.157578392,0.820302747,-0.662724356
Virginia,51770,Roanoke city,15787,25737,42128,-9950,0.374738891,0.610923851,-0.23618496
Virginia,51775,Salem city,7769,5237,13148,2532,0.590888348,0.39831153,0.192576818
Virginia,51790,Staunton city,5778,7592,13562,-1814,0.426043356,0.55979944,-0.133756083
Virginia,51800,Suffolk city,22112,30597,53352,-8485,0.414454941,0.573493027,-0.159038087
Virginia,51810,Virginia Beach city,109375,115412,227770,-6037,0.480199324,0.506704131,-0.026504807
Virginia,51820,Waynesboro city,5882,5240,11274,642,0.521731417,0.464786234,0.056945184
Virginia,51830,Williamsburg city,2119,5613,7851,-3494,0.269901923,0.714940772,-0.445038849
Virginia,51840,Winchester city,5252,6407,11822,-1155,0.444256471,0.541955676,-0.097699205
